"id","price","sale_price"
"38x44-monitor-barn","$118,999","$70,999"
"lctf-pf1","$39,399","$27,999"
"lctf-pf2","$31,299","$20,199"
"lctf-pf3","$44,999","$28,999"
"lctf-pf4","$40,999","$26,999"
"lctf-pf9","$18,899","$14,460"
"lctf-pf10","$21,599","$16,999"
"lctf-pf11","$19,999","$13,999"
"lctf-pf14","$29,999","$19,999"
"lctf-pf15","$24,999","$18,999"
"lctf-pf16","$27,999","$21,999"
"lctf-pf17","$36,999","$33,999"
"lctf-pf18","$31,199","$23,999"
"lone-oak-barn","$149,999","$110,999"
"notch-barn","$96,999","$73,499"
"lctf-barn","$117,999","$89,999"
"old-natchez-studio","$54,999","$35,999"
"24x30-cottage","$71,399",""
"bee-tree-hill","$96,599","$73,999"
"20x36-cruck-pavilion","$71,999",""
"lctf-pf19","$23,999",""
"lctf-pf12","$16,999","$12,999"
"lctf-pf13","$19,999","$15,999"
"old-natchez-trace","$102,999",""
"36x42-monitor-barn","$106,399","$74,999"
